,id,rating,release_date_cert
418,152737,R,2013-10-08 00:00:00+00:00
419,152737,R,2013-10-08 00:00:00+00:00
420,38073,R,2010-09-03 00:00:00+00:00
421,44363,R,2010-09-28 00:00:00+00:00
422,44363,R,2010-09-28 00:00:00+00:00
423,20352,PG,2010-07-09 00:00:00+00:00
424,24021,PG-13,2010-06-23 00:00:00+00:00
425,77877,PG-13,2012-04-20 00:00:00+00:00
426,260947,R,2014-04-04 00:00:00+00:00
427,39053,R,2010-06-18 00:00:00+00:00
428,39053,R,2010-06-18 00:00:00+00:00
429,87818,R,2013-01-25 00:00:00+00:00
430,42188,R,2010-09-15 00:00:00+00:00
431,49012,PG-13,2011-04-08 00:00:00+00:00
432,66195,R,2010-07-01 00:00:00+00:00
433,64686,PG-13,2013-12-25 00:00:00+00:00
434,80585,PG-13,2012-06-15 00:00:00+00:00
435,49517,R,2011-12-09 00:00:00+00:00
436,37495,R,2010-01-23 00:00:00+00:00
437,127209,,2010-10-31 00:00:00+00:00
438,127209,,2010-10-31 00:00:00+00:00
439,64682,PG-13,2013-05-10 00:00:00+00:00
440,49049,R,2012-09-21 00:00:00+00:00
441,49026,PG-13,2012-07-20 00:00:00+00:00
442,158394,,2013-04-05 00:00:00+00:00
443,158394,,2013-04-05 00:00:00+00:00
444,81005,PG-13,2013-03-01 00:00:00+00:00
445,249164,PG-13,2014-08-22 00:00:00+00:00
446,325789,R,2016-07-13 00:00:00+00:00
447,274870,PG-13,2016-12-21 00:00:00+00:00
448,274870,PG-13,2016-12-21 00:00:00+00:00
449,261023,R,2015-09-18 00:00:00+00:00
450,46252,,2010-10-07 00:00:00+00:00
451,46252,,2010-10-07 00:00:00+00:00
452,47088,R,2010-08-01 00:00:00+00:00
453,338970,PG-13,2018-06-12 00:00:00+00:00
454,333384,PG-13,2016-06-01 00:00:00+00:00
455,333384,PG-13,2016-06-01 00:00:00+00:00
456,57431,R,2011-12-09 00:00:00+00:00
457,77948,PG-13,2012-09-06 00:00:00+00:00
458,83542,R,2012-10-26 00:00:00+00:00
459,46138,R,2010-11-19 00:00:00+00:00
460,101173,R,2012-01-19 00:00:00+00:00
461,398307,,2010-10-29 00:00:00+00:00
462,398307,,2010-10-29 00:00:00+00:00
463,58431,PG-13,2016-01-21 00:00:00+00:00
464,58244,PG-13,2013-03-14 00:00:00+00:00
465,58244,PG-13,2013-03-14 00:00:00+00:00
466,27205,PG-13,2010-07-16 00:00:00+00:00
467,38365,PG-13,2010-06-24 00:00:00+00:00
468,227707,PG,2013-12-05 00:00:00+00:00
469,38050,PG-13,2011-03-04 00:00:00+00:00
