,id,imdb_id,title,budget,release_date,revenue,runtime,original_language,original_title,spoken_languages,vote_average,vote_count,genres,poster_path,production_companies
536,56703,,Pretenders - Live in London,0,2010-02-09,0,88.0,en,Pretenders - Live in London,[],4.8,2,"[{'id': 10402, 'name': 'Music'}]",,[]
537,37251,tt1974377,Anjelah Johnson: That's How We Do It,0,2010-02-09,0,75.0,en,Anjelah Johnson: That's How We Do It,"[{'iso_639_1': 'en', 'name': 'English'}]",5.9,7,"[{'id': 35, 'name': 'Comedy'}]",/CI7EaPKOd5pu1GpG9EVoLAweW3.jpg,"[{'id': 5657, 'logo_path': None, 'name': 'WEA/Reprise', 'origin_country': ''}]"
538,52338,tt1296898,Waiting for Forever,0,2010-02-10,0,94.0,en,Waiting for Forever,"[{'iso_639_1': 'en', 'name': 'English'}]",5.7,191,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",/2NQpYb0AnMD0PY9UY90u9ifAFsL.jpg,"[{'id': 24903, 'logo_path': None, 'name': 'PCH Film', 'origin_country': ''}, {'id': 86, 'logo_path': None, 'name': 'Catfish Productions', 'origin_country': ''}, {'id': 24904, 'logo_path': None, 'name': 'Weekend Films/Main Street Productions', 'origin_country': ''}]"
539,92190,tt2061843,Tuba Atlantic,0,2010-02-10,0,25.0,en,Tuba Atlantic,"[{'iso_639_1': 'no', 'name': 'Norsk'}]",5.7,14,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,[]
540,39333,tt1407927,180° South,0,2010-02-10,0,86.0,en,180° South,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",7.1,33,"[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}]",/wX5mm43aNxtaZaW9oKPYctvODgG.jpg,[]
541,56441,tt1111313,The Elephant in the Living Room,0,2010-02-11,0,96.0,en,The Elephant in the Living Room,[],6.9,10,"[{'id': 99, 'name': 'Documentary'}]",/7ApGTd9a77iYLPXL7qLW1y1fPOl.jpg,[]
542,80435,tt1436560,Lovers of Hate,0,2010-02-11,0,93.0,en,Lovers of Hate,"[{'iso_639_1': 'en', 'name': 'English'}]",5.3,4,"[{'id': 35, 'name': 'Comedy'}]",/sqOgj2oqn5MRUYzyI1jf2Xgm3yb.jpg,[]
543,56441,tt1111313,The Elephant in the Living Room,0,2010-02-11,0,96.0,en,The Elephant in the Living Room,[],6.9,10,"[{'id': 99, 'name': 'Documentary'}]",/7ApGTd9a77iYLPXL7qLW1y1fPOl.jpg,[]
544,44312,tt1515201,Kick Off,0,2009-10-10,0,81.0,en,Kick Off,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ku', 'name': ''}]",5.5,2,"[{'id': 18, 'name': 'Drama'}]",,"[{'id': 15505, 'logo_path': '/w5QS8A009RWYz0oi0tP4OWoGb5E.png', 'name': 'NHK', 'origin_country': 'JP'}, {'id': 93531, 'logo_path': None, 'name': 'Narin Film', 'origin_country': ''}]"
545,90363,tt1705125,Mysterious Island,2500000,2010-01-01,0,86.0,en,Mysterious Island,"[{'iso_639_1': 'en', 'name': 'English'}]",4.4,16,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",/3L0FDZ9Zpf0mknsGBdxrSY7Aonz.jpg,"[{'id': 8536, 'logo_path': None, 'name': 'Leverage', 'origin_country': 'US'}]"
546,32856,tt0817230,Valentine's Day,52000000,2010-02-10,216485654,125.0,en,Valentine's Day,"[{'iso_639_1': 'en', 'name': 'English'}]",5.9,2231,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",/qOTcfD2DdnOTmhH0r1TOE09VvNh.jpg,"[{'id': 4194, 'logo_path': None, 'name': 'Karz Entertainment', 'origin_country': ''}, {'id': 12, 'logo_path': '/iaYpEp3LQmb8AfAtmTvpqd4149c.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 60018, 'logo_path': None, 'name': 'Rice Films', 'origin_country': ''}]"
547,32657,tt0814255,Percy Jackson & the Olympians: The Lightning Thief,95000000,2010-02-01,226497209,119.0,en,Percy Jackson & the Olympians: The Lightning Thief,"[{'iso_639_1': 'en', 'name': 'English'}]",6.2,5132,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",/brzpTyZ5bnM7s53C1KSk1TmrMO6.jpg,"[{'id': 436, 'logo_path': '/A7WCkG3F0NFvjGCwUnclpGdIu9E.png', 'name': '1492 Pictures', 'origin_country': 'US'}, {'id': 5219, 'logo_path': None, 'name': 'Sunswept Entertainment', 'origin_country': ''}, {'id': 444, 'logo_path': '/42UPdZl6B2cFXgNUASR8hSt9mpS.png', 'name': 'Dune Entertainment', 'origin_country': 'US'}, {'id': 711, 'logo_path': '/tEiIH5QesdheJmDAqQwvtN60727.png', 'name': 'Fox 2000 Pictures', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]"
548,62043,tt1646232,The Ultimate Wave: Tahiti,0,2010-02-12,0,45.0,en,The Ultimate Wave: Tahiti,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'en', 'name': 'English'}]",7.7,7,"[{'id': 99, 'name': 'Documentary'}]",/xeYDvc2HA8Vc6emxwcugQ02Qx7X.jpg,"[{'id': 48776, 'logo_path': None, 'name': 'Perfect Wave', 'origin_country': ''}]"
549,32497,tt1570966,Farsan,0,2010-02-12,0,97.0,en,Farsan,"[{'iso_639_1': 'sv', 'name': 'svenska'}]",4.5,25,"[{'id': 35, 'name': 'Comedy'}]",/kwFteL6TED6VzFIpOTd2mkKGNuB.jpg,"[{'id': 321, 'logo_path': '/pfp6VWF3tYfOHHVRHpYe2iGcYrf.png', 'name': 'Memfis Film', 'origin_country': 'SE'}]"
550,7978,tt0780653,The Wolfman,150000000,2010-02-11,0,102.0,en,The Wolfman,"[{'iso_639_1': 'en', 'name': 'English'}]",5.7,1214,"[{'id': 27, 'name': 'Horror'}]",/5gYuDqlfm1eAlHOjxvlkchzQP9k.jpg,"[{'id': 4403, 'logo_path': None, 'name': 'Stuber Productions', 'origin_country': ''}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 7295, 'logo_path': '/5MYE96QiE5a5oFhXxFb4y8ILSpw.png', 'name': 'Relativity Media', 'origin_country': 'US'}]"
551,411203,tt1189386,Prisoner of Her Past,0,2010-02-12,0,55.0,en,Prisoner of Her Past,"[{'iso_639_1': 'en', 'name': 'English'}]",10.0,1,"[{'id': 99, 'name': 'Documentary'}]",/gV9AsjjqiWnQIzNoonk19MAWzzE.jpg,"[{'id': 13042, 'logo_path': '/k57hcv8sELrZCf1j33FDBNGDpF6.png', 'name': 'Kartemquin Films', 'origin_country': 'US'}]"
