tconst,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_datetime,datetime_year
tt2075392,Home,Yurt,2011,76.0,Drama,6.0,96.0,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt2089701,Home,Home,2011,7.0,"Documentary,Drama,Family",,,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt2093100,Home,Dom,2011,127.0,Drama,7.5,1049.0,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt2224026,Home,Home,2015,94.0,"Adventure,Animation,Comedy",6.6,85831.0,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt2372760,Home,Hemma,2013,90.0,"Drama,Romance",6.8,306.0,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt2393825,Home,Home,2013,112.0,Drama,7.0,140.0,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt2545384,Home,Home,2016,87.0,"Drama,Horror,Thriller",3.9,303.0,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt2650038,Home,Home,2012,3.0,"Biography,Documentary",,,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt2821866,Home,Home,2013,92.0,Drama,,,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt3289416,Home,Dom tsah,2012,26.0,"Documentary,History",,,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt3506448,Home,A Casa,2012,70.0,Documentary,,,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt4047846,Home,Home,2016,103.0,Drama,7.2,811.0,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt4094360,Home,Home,2014,47.0,Documentary,,,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt4352542,Home,Home,2014,72.0,"Biography,Documentary",,,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt5121236,Home,Home,2015,15.0,Documentary,,,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt5327560,Home,Home,2014,5.0,"Documentary,Family",,,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt5775862,Home,Innocent,2015,4.0,Drama,,,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt5884960,Home,Home,2015,58.0,Documentary,,,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt7143650,Home,Home,2017,35.0,"Documentary,Family",,,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt7281238,Home,Home,2016,35.0,"Animation,Documentary",,,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt8601408,Home,Dom,2018,71.0,"Drama,Romance,Thriller",8.4,32.0,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt9281490,Home,Home,2018,50.0,Documentary,,,44,"Mar 27, 2015",Home,130000000,177397510,385997896,2015-03-27,2015
tt2076215,Happy Christmas,Happy Christmas,2011,109.0,MISSING,,,4,"Jul 25, 2014",Happy Christmas,70000,30312,30312,2014-07-25,2014
tt2955096,Happy Christmas,Happy Christmas,2014,82.0,"Comedy,Drama",5.5,7217.0,4,"Jul 25, 2014",Happy Christmas,70000,30312,30312,2014-07-25,2014
tt2076220,Holy Motors,Holy Motors,2012,115.0,"Drama,Fantasy",7.1,36874.0,25,"Oct 17, 2012",Holy Motors,4000000,641054,4230426,2012-10-17,2012
tt2077772,Hush,Ja saapuu oikea yö,2012,103.0,"Drama,Thriller",4.5,244.0,22,"Apr 8, 2016",Hush,1000000,0,0,2016-04-08,2016
tt4828062,Hush,Hush,2015,100.0,Documentary,4.8,13.0,22,"Apr 8, 2016",Hush,1000000,0,0,2016-04-08,2016
tt5022702,Hush,Hush,2016,82.0,"Horror,Thriller",6.6,79100.0,22,"Apr 8, 2016",Hush,1000000,0,0,2016-04-08,2016
tt7255884,Hush,Hush,2016,80.0,"Documentary,Drama,Reality-TV",,,22,"Apr 8, 2016",Hush,1000000,0,0,2016-04-08,2016
tt2080374,Steve Jobs,Steve Jobs,2015,122.0,"Biography,Drama",7.2,138668.0,60,"Oct 9, 2015",Steve Jobs,30000000,17766658,35579007,2015-10-09,2015
tt2081194,Hansel & Gretel Get Baked,Hansel & Gretel Get Baked,2013,86.0,"Comedy,Horror",4.3,3225.0,55,"Jun 25, 2013",Hansel & Gretel Get Baked,4500000,0,0,2013-06-25,2013
tt2083355,The Best Man Holiday,The Best Man Holiday,2013,123.0,"Comedy,Drama",6.7,13967.0,73,"Nov 15, 2013",The Best Man Holiday,17000000,70525195,72835710,2013-11-15,2013
tt2083383,Trouble with the Curve,Trouble with the Curve,2012,111.0,"Drama,Sport",6.8,56129.0,18,"Sep 21, 2012",Trouble with the Curve,60000000,35763137,47818913,2012-09-21,2012
tt2084970,The Imitation Game,The Imitation Game,2014,114.0,"Biography,Drama,Thriller",8.0,620834.0,6,"Nov 28, 2014",The Imitation Game,15000000,91125143,227740463,2014-11-28,2014
tt2090488,Down and Dangerous,Down and Dangerous,2013,95.0,"Crime,Thriller",5.2,846.0,22,"Feb 14, 2014",Down and Dangerous,50000,0,0,2014-02-14,2014
tt2091256,Captain Underpants: The First Epic Movie,Captain Underpants: The First Epic Movie,2017,89.0,"Action,Animation,Comedy",6.2,21903.0,59,"Jun 2, 2017",Captain Underpants: The First Epic Movie,38000000,73921000,126577874,2017-06-02,2017
tt2091427,Treading Water,The Boy Who Smells Like Fish,2013,92.0,"Comedy,Drama",6.2,515.0,15,"Mar 10, 2015",Treading Water,4700000,0,0,2015-03-10,2015
tt2891054,Treading Water,Treading Water,2013,24.0,"Biography,Documentary,History",,,15,"Mar 10, 2015",Treading Water,4700000,0,0,2015-03-10,2015
tt3210578,Treading Water,Treading Water,2013,98.0,Drama,,,15,"Mar 10, 2015",Treading Water,4700000,0,0,2015-03-10,2015
tt2091436,The Gift,The Gift,2011,54.0,"Drama,Romance",,,63,"Aug 7, 2015",The Gift,5000000,43787265,58978477,2015-08-07,2015
tt3474788,The Gift,An Bronntanas,2014,113.0,"Action,Drama,Thriller",7.5,489.0,63,"Aug 7, 2015",The Gift,5000000,43787265,58978477,2015-08-07,2015
