,tconst,primary_title,original_title_x,start_year,runtime_minutes,genres,averagerating,numvotes,id,release_date_x,movie,production_budget,domestic_gross,worldwide_gross,release_year,genre_ids,tmdb_id,original_language,original_title_y,popularity,release_date_y,title,vote_average,vote_count
2595,tt5734576,The Possession of Hannah Grace,The Possession of Hannah Grace,2018,86.0,"Horror,Mystery,Thriller",5.2,11629.0,37,2018-11-30,The Possession of Hannah Grace,6000000,14836174,42785387,2018,"[27, 18]",434555,en,The Possession of Hannah Grace,20.262999999999998,2018-11-30,The Possession of Hannah Grace,5.1,393
2596,tt5758778,Skyscraper,Skyscraper,2018,102.0,"Action,Adventure,Thriller",5.8,81193.0,78,2018-07-13,Skyscraper,125000000,68420120,304115534,2018,[28],447200,en,Skyscraper,26.229,2018-07-13,Skyscraper,6.1,2177
2597,tt5804038,I Am Not Your Negro,I Am Not Your Negro,2016,93.0,Documentary,7.8,13948.0,32,2017-02-03,I Am Not Your Negro,1000000,7123919,9617402,2017,[99],411019,en,I Am Not Your Negro,7.026,2017-02-03,I Am Not Your Negro,8.1,196
2598,tt5834262,Hotel Artemis,Hotel Artemis,2018,94.0,"Action,Drama,Sci-Fi",6.1,30586.0,15,2018-06-08,Hotel Artemis,15000000,6708137,12758799,2018,"[53, 878, 28]",406761,en,Hotel Artemis,14.585,2018-06-08,Hotel Artemis,5.9,471
2599,tt6000478,"Roman J. Israel, Esq.","Roman J. Israel, Esq.",2017,122.0,"Crime,Drama,Thriller",6.4,23632.0,40,2017-11-17,"Roman J. Israel, Esq.",22000000,11962712,12967012,2017,[18],413362,en,"Roman J. Israel, Esq.",12.687999999999999,2017-11-17,"Roman J. Israel, Esq.",6.2,499
2600,tt6003368,Diary of a Wimpy Kid: The Long Haul,Diary of a Wimpy Kid: The Long Haul,2017,91.0,"Comedy,Family",4.4,5635.0,27,2017-05-19,Diary of a Wimpy Kid: The Long Haul,22000000,20738724,35609577,2017,"[35, 10751]",417830,en,Diary of a Wimpy Kid: The Long Haul,10.839,2017-05-19,Diary of a Wimpy Kid: The Long Haul,5.6,193
2601,tt6053438,First Reformed,First Reformed,2017,113.0,"Drama,Mystery,Thriller",7.1,33542.0,11,2018-05-18,First Reformed,3500000,3448256,3874772,2018,[18],458737,en,First Reformed,12.943,2018-05-18,First Reformed,6.9,446
2602,tt6063050,Acrimony,Acrimony,2018,120.0,"Drama,Romance,Thriller",5.7,6119.0,35,2018-03-30,Acrimony,20000000,43549096,46627836,2018,"[18, 53]",464502,en,Acrimony,10.6,2018-03-30,Acrimony,6.6,186
2603,tt6133466,The First Purge,The First Purge,2018,98.0,"Action,Horror,Sci-Fi",5.1,41741.0,49,2018-07-04,The First Purge,13000000,69488745,136617305,2018,"[28, 878, 53, 27]",442249,en,The First Purge,28.44,2018-07-04,The First Purge,5.8,1846
2604,tt6182908,Smallfoot,Smallfoot,2018,96.0,"Adventure,Animation,Comedy",6.7,23295.0,69,2018-09-28,Smallfoot,80000000,83240103,213691277,2018,"[16, 10751, 12, 14]",446894,en,Smallfoot,26.230999999999998,2018-09-28,Smallfoot,6.6,600
2605,tt6265828,A Ghost Story,A Ghost Story,2017,92.0,"Drama,Fantasy,Romance",6.8,46280.0,86,2017-07-07,A Ghost Story,100000,1594798,2769782,2017,"[18, 14, 10749]",428449,en,A Ghost Story,11.886,2017-07-07,A Ghost Story,7.0,906
2606,tt6288250,Patti Cake$,Patti Cake$,2017,109.0,"Drama,Music",6.7,8581.0,56,2017-08-18,Patti Cake$,1000000,800148,1471090,2017,[18],426256,en,Patti Cake$,6.934,2017-08-18,Patti Cake$,7.0,122
2607,tt6294822,The Post,The Post,2017,116.0,"Biography,Drama,History",7.2,108017.0,9,2017-12-22,The Post,50000000,81903458,179748880,2017,"[18, 36]",446354,en,The Post,15.550999999999998,2017-12-22,The Post,7.0,2506
2608,tt6333060,Icarus,Icarus,2017,120.0,"Documentary,Sport,Thriller",7.9,28979.0,91,2010-02-09,Icarus,6000000,0,0,2010,"[28, 18, 53]",35402,en,Icarus,5.002,2010-09-10,Icarus,5.2,42
2609,tt6333060,Icarus,Icarus,2017,120.0,"Documentary,Sport,Thriller",7.9,28979.0,91,2010-02-09,Icarus,6000000,0,0,2010,"[12, 18, 878]",486954,en,Icarus,0.6,2016-04-22,Icarus,5.0,1
2610,tt6333060,Icarus,Icarus,2017,120.0,"Documentary,Sport,Thriller",7.9,28979.0,91,2010-02-09,Icarus,6000000,0,0,2010,[99],432976,en,Icarus,9.661,2017-07-26,Icarus,7.8,293
2617,tt6343314,Creed II,Creed II,2018,130.0,"Drama,Sport",7.2,72503.0,96,2018-11-21,Creed II,50000000,115715889,213591522,2018,[18],480530,en,Creed II,26.906999999999996,2018-11-21,Creed II,6.7,2236
2618,tt6347308,A Quiet Place,A Quiet Place,2016,80.0,Documentary,6.6,18.0,66,2018-04-06,A Quiet Place,17000000,188024361,334522294,2018,"[18, 27, 53, 878]",447332,en,A Quiet Place,29.154,2018-04-06,A Quiet Place,7.3,5848
2619,tt6644200,A Quiet Place,A Quiet Place,2018,90.0,"Drama,Horror,Sci-Fi",7.6,305031.0,66,2018-04-06,A Quiet Place,17000000,188024361,334522294,2018,"[18, 27, 53, 878]",447332,en,A Quiet Place,29.154,2018-04-06,A Quiet Place,7.3,5848
2620,tt6359956,A Bad Moms Christmas,A Bad Moms Christmas,2017,104.0,"Adventure,Comedy",5.5,33056.0,40,2017-11-01,A Bad Moms Christmas,28000000,72110659,127710550,2017,[35],431530,en,A Bad Moms Christmas,16.604,2017-11-01,A Bad Moms Christmas,6.3,1044
2621,tt6421110,Proud Mary,Proud Mary,2018,89.0,"Action,Crime,Drama",4.9,6805.0,50,2018-01-12,Proud Mary,30000000,20868638,21709539,2018,"[53, 28, 80]",442064,en,Proud Mary,9.371,2018-01-12,Proud Mary,5.5,259
2622,tt6450186,I Can Only Imagine,I Can Only Imagine,2018,110.0,"Biography,Drama,Family",7.4,11439.0,90,2018-03-16,I Can Only Imagine,7000000,83482352,85604221,2018,"[18, 10751, 10402]",470878,en,I Can Only Imagine,9.7,2018-03-16,I Can Only Imagine,7.6,155
2623,tt6495770,Action Point,Action Point,2018,85.0,Comedy,5.0,6657.0,50,2018-06-01,Action Point,19000000,5059608,5103675,2018,"[35, 18]",454283,en,Action Point,12.84,2018-06-01,Action Point,5.2,136
2624,tt6499752,Upgrade,Upgrade,2018,100.0,"Action,Sci-Fi,Thriller",7.6,104978.0,89,2018-06-01,Upgrade,3000000,11977130,16553285,2018,"[28, 53, 878]",500664,en,Upgrade,21.413,2018-06-01,Upgrade,7.4,1326
2625,tt6628394,Bad Times at the El Royale,Bad Times at the El Royale,2018,141.0,"Crime,Drama,Mystery",7.1,86318.0,10,2018-10-12,Bad Times at the El Royale,32000000,17839115,29204379,2018,"[53, 80, 9648, 18]",446021,en,Bad Times at the El Royale,31.32,2018-10-12,Bad Times at the El Royale,6.8,1365
2626,tt6791096,I Feel Pretty,I Feel Pretty,2018,110.0,"Comedy,Romance",5.4,39936.0,99,2018-04-20,I Feel Pretty,32000000,48795601,91553797,2018,[35],460668,en,I Feel Pretty,16.298,2018-04-20,I Feel Pretty,6.4,1088
2627,tt6802308,The 15:17 to Paris,The 15:17 to Paris,2018,94.0,"Biography,Drama,Thriller",5.2,21880.0,23,2018-02-09,The 15:17 to Paris,30000000,36276286,56096200,2018,"[18, 36, 53]",453201,en,The 15:17 to Paris,11.575999999999999,2018-02-09,The 15:17 to Paris,5.3,799
2628,tt6850820,Peppermint,Peppermint,2018,101.0,"Action,Crime,Drama",6.5,35854.0,21,2018-09-07,Peppermint,25000000,35418723,51800758,2018,"[53, 28, 18]",458594,en,Peppermint,32.476,2018-09-07,Peppermint,6.5,716
2629,tt6966692,Green Book,Green Book,2018,130.0,"Biography,Comedy,Drama",8.3,204972.0,71,2018-11-16,Green Book,23000000,85080171,322034439,2018,"[18, 35]",490132,en,Green Book,36.284,2018-11-16,Green Book,8.3,3499
2630,tt7014006,Eighth Grade,Eighth Grade,2018,93.0,"Comedy,Drama",7.5,43256.0,95,2018-07-13,Eighth Grade,2000000,13539710,14341016,2018,"[35, 18]",489925,en,Eighth Grade,14.777000000000001,2018-07-13,Eighth Grade,7.4,519
2631,tt7040874,A Simple Favor,A Simple Favor,2018,117.0,"Comedy,Crime,Drama",6.9,83338.0,24,2018-09-14,A Simple Favor,20000000,53548586,97628717,2018,"[53, 80, 9648, 35, 18]",484247,en,A Simple Favor,21.121,2018-09-14,A Simple Favor,6.6,1756
2632,tt7125860,If Beale Street Could Talk,If Beale Street Could Talk,2018,119.0,"Drama,Romance",7.2,25512.0,96,2018-12-14,If Beale Street Could Talk,12000000,14915773,19859167,2018,"[18, 10749, 80]",465914,en,If Beale Street Could Talk,13.579,2018-12-14,If Beale Street Could Talk,7.2,388
2633,tt7137380,Destroyer,Destroyer,2018,121.0,"Action,Crime,Drama",6.2,13683.0,5,2018-12-25,Destroyer,9000000,1533324,3681096,2018,"[53, 80, 18, 28]",471507,en,Destroyer,17.815,2018-12-25,Destroyer,5.9,176
2634,tt7137846,Breaking In,Breaking In,2018,88.0,"Action,Crime,Drama",5.4,10154.0,19,2018-05-11,Breaking In,6000000,46840590,51411620,2018,[],403153,en,Breaking In,0.6,2014-01-01,Breaking In,2.5,2
2635,tt7137846,Breaking In,Breaking In,2018,88.0,"Action,Crime,Drama",5.4,10154.0,19,2018-05-11,Breaking In,6000000,46840590,51411620,2018,"[53, 80, 28]",497814,en,Breaking In,12.187999999999999,2018-05-13,Breaking In,5.9,290
2636,tt7153766,Unsane,Unsane,2018,98.0,"Drama,Horror,Mystery",6.4,32049.0,70,2018-03-23,Unsane,1500000,7690044,14244931,2018,"[27, 53]",467660,en,Unsane,16.316,2018-03-23,Unsane,6.2,667
2637,tt7158430,Hearts Beat Loud,Hearts Beat Loud,2018,97.0,"Comedy,Drama,Music",6.9,6543.0,25,2018-06-08,Hearts Beat Loud,2000000,2386254,2420962,2018,"[18, 10402, 35]",470333,en,Hearts Beat Loud,13.200999999999999,2018-06-08,Hearts Beat Loud,7.4,87
2638,tt7334528,Uncle Drew,Uncle Drew,2018,103.0,"Comedy,Sport",5.7,9739.0,85,2018-06-29,Uncle Drew,18000000,42469946,46527161,2018,[35],474335,en,Uncle Drew,10.835999999999999,2018-06-29,Uncle Drew,6.5,220
2639,tt7349662,BlacKkKlansman,BlacKkKlansman,2018,135.0,"Biography,Crime,Drama",7.5,149005.0,21,2018-08-10,BlacKkKlansman,15000000,49275340,93017335,2018,"[80, 18]",487558,en,BlacKkKlansman,25.101,2018-07-30,BlacKkKlansman,7.6,3138
2640,tt7374952,El Chicano,El Chicano,2018,108.0,Drama,5.7,290.0,16,2019-05-03,El Chicano,8000000,700261,700261,2019,"[18, 28, 80]",547590,en,El Chicano,5.274,2019-05-03,El Chicano,9.0,1
